m,delta_rl,consumer_surplus_raw,consumer_surplus_per_quality_cost,consumer_surplus_normalized,total_profit_normalized
1,0.1,25.031405422246085,0.5562534538276908,0.061137602785946515,0.27767564478073903
1,0.2,25.028999027599088,0.5561999783910908,0.07810174350122089,0.2645368367000811
1,0.3,24.836889838343946,0.5519308852965321,0.1078288312309228,0.2855046922742844
1,0.4,25.13948341727325,0.5586551870505164,0.07231545803393852,0.21739587251896836
1,0.5,24.603698849978738,0.5467488633328609,0.14275111430974716,0.35136407059248503
1,0.6,24.369550489178053,0.5415455664261789,0.17815141938967052,0.4006374765649462
1,0.7,24.08754739493992,0.5352788309986649,0.24552801979832142,0.41041188954722513
1,0.8,24.064267796954674,0.5347615065989927,0.26283497840024533,0.4612327288381411
1,0.9,23.828675940627036,0.5295261320139342,0.3095496538550397,0.5104125203076513
2,0.1,27.092501980461808,0.602055599565818,0.13204752934360578,0.1609370053731765
2,0.2,26.99105583303276,0.5998012407340613,0.12139035839120453,0.11409580770325906
2,0.3,26.93652877257966,0.5985895282795479,0.13520075116722108,0.1373150562936538
2,0.4,27.259496051958735,0.6057665789324163,0.0567864989295465,0.07829229316424931
2,0.5,26.83374619203948,0.5963054709342106,0.2033415962901994,0.1726760811663717
2,0.6,27.012327800647263,0.6002739511254949,0.12492692806292968,0.1406891289064979
2,0.7,26.73561513931427,0.5941247808736504,0.19606980821757183,0.20838727360532822
2,0.8,26.599528108513905,0.5911006246336425,0.26276747182689997,0.22429527930379092
2,0.9,26.56620373442778,0.590360082987284,0.2468742315410944,0.18980019166860226
3,0.1,27.11364335615508,0.6025254079145573,0.12091574924435138,0.13365392872609466
3,0.2,27.081425029059844,0.6018094450902188,0.20375252536197067,0.1863830258566814
3,0.3,27.029938609151714,0.6006653024255936,0.16760888552064288,0.18710334593568664
3,0.4,26.770763436692768,0.5949058541487284,0.2347664696249562,0.19438740575230062
3,0.5,27.163098864043853,0.6036244192009745,0.12578934906151834,0.10742992204440906
3,0.6,27.059964457002806,0.6013325434889513,0.1625050731113604,0.1766117875898706
3,0.7,26.676545759494697,0.592812127988771,0.25206002370378183,0.2627253929259894
3,0.8,26.584990221906352,0.5907775604868077,0.27082780114502275,0.27319874024780566
3,0.9,27.139962478041706,0.6031102772898157,0.08310481472188712,0.09781637784999482
